"","LSOA21CD","IMD_2025_decile","IMD_2025_score"
"20637","E01021737",7,13.404
"20638","E01021738",9,7.268
"20639","E01021739",10,5.318
"20640","E01021740",7,11.527
"20641","E01021741",5,17.853
"20642","E01021742",6,15.194
"20643","E01021743",7,11.604
"20644","E01021744",8,9.828
"20645","E01021745",10,5.219
"20646","E01021746",10,4.924
"20647","E01021747",10,3.64
"20648","E01021748",9,6.802
"20649","E01021749",7,13.08
"20650","E01021750",9,7.532
"20651","E01021751",10,3.449
"20652","E01021752",8,8.777
"20653","E01021753",5,18.748
"20654","E01021754",10,4.8
"20655","E01021755",9,7.915
"20656","E01021756",9,6.295
"20657","E01021757",9,5.815
"20658","E01021758",6,16.607
"20659","E01021759",8,10.669
"20660","E01021760",9,7.795
"20661","E01021761",7,12.826
"20662","E01021762",6,16.959
"20663","E01021763",8,10.239
"20664","E01021764",3,32.324
"20665","E01021765",7,12.293
"20666","E01021766",9,7.778
"20667","E01021767",9,6.207
"20668","E01021768",6,15.739
"20669","E01021769",5,17.869
"20670","E01021770",5,17.945
"20671","E01021771",3,28.504
"20672","E01021772",7,12.231
"20673","E01021773",6,15.766
"20674","E01021774",5,18.929
"20675","E01021775",5,19.452
"20676","E01021776",3,26.628
"20677","E01021777",6,16.728
"20678","E01021778",6,14.194
"20679","E01021779",4,23.716
"20680","E01021780",10,2.259
"20681","E01021781",9,5.539
"20682","E01021782",10,5.028
"20683","E01021783",9,5.569
"20684","E01021784",9,5.512
"20685","E01021785",6,17.283
"20686","E01021786",10,5.37
"20687","E01021787",9,6.063
"20688","E01021788",9,6.167
"20689","E01021789",10,3.335
"20690","E01021790",6,16.532
"20691","E01021791",8,9.364
"20692","E01021792",7,11.496
"20693","E01021793",9,7.715
"20694","E01021794",5,18.438
"20695","E01021795",10,4.65
"20696","E01021796",5,19.665
"20697","E01021797",7,11.455
"20698","E01021798",8,9.564
"20699","E01021799",4,22.405
"20700","E01021800",4,22.807
"20701","E01021801",6,16.31
"20702","E01021802",5,20.88
"20703","E01021803",8,9.255
"20704","E01021804",9,7.285
"20705","E01021805",10,1.942
"20706","E01021806",4,25.585
"20707","E01021807",6,14.22
"20708","E01021808",4,25.5
"20709","E01021809",5,20.195
"20710","E01021810",6,15.938
"20711","E01021811",4,23.623
"20712","E01021812",4,25.028
"20713","E01021813",8,10.032
"20714","E01021814",6,17.032
"20715","E01021815",4,22.74
"20716","E01021816",3,32.309
"20717","E01021817",5,20.102
"20718","E01021818",4,25.593
"20719","E01021819",5,21.022
"20720","E01021820",5,20.948
"20721","E01021821",3,30.888
"20722","E01021822",5,19.592
"20723","E01021823",2,33.561
"20724","E01021824",9,6.276
"20725","E01021825",9,7.016
"20726","E01021826",9,6.446
"20727","E01021827",6,15.056
"20728","E01021828",9,6.436
"20729","E01021829",4,22.119
"20730","E01021830",8,8.544
"20731","E01021831",4,22.46
"20732","E01021832",6,15.233
"20733","E01021833",5,21.499
"20734","E01021834",4,25.47
"20735","E01021835",5,20.714
"20736","E01021836",3,30.428
"20737","E01021837",5,20.645
"20738","E01021838",6,17.312
