"LSOA11CD","IMD_2019_decile","IMD_2019_score"
"E01005488",8,9.84
"E01004801",1,61.511
"E01004784",9,8.416
"E01004564",5,18.491
"E01005325",1,66.915
"E01004746",3,27.661
"E01005214",4,22.629
"E01005239",1,58.28
"E01004934",5,20.624
"E01004838",2,40.755
"E01005497",1,57.393
"E01005396",5,21.19
"E01005380",1,50.895
"E01027864",2,37.923
"E01027913",9,7.021
"E01027915",6,15.618
"E01027967",3,32.555
"E01005167",1,44.468
"E01005199",2,38.657
"E01027891",8,8.781
"E01005059",3,27.703
"E01027669",6,16.055
"E01027684",7,14.021
"E01029006",7,11.807
"E01027727",7,11.723
"E01027811",4,25.135
"E01027676",5,20.41
"E01027771",8,10.6
"E01003634",3,31.094
"E01003684",5,18.413
"E01005186",1,51.482
"E01004964",3,27.913
"E01003817",8,11.002
"E01003942",3,31.341
"E01003712",2,39.856
"E01003974",2,35.37
"E01004068",2,34.366
"E01005028",2,40.335
"E01004095",10,5.625
"E01004034",4,25.711
"E01005402",5,21.33
"E01005020",10,4.105
"E01005041",6,14.248
"E01004796",3,29.999
"E01004448",3,26.678
"E01005038",9,8.255
"E01005100",2,41.788
"E01004402",3,32.696
"E01004398",2,37.907
"E01004475",6,15.977
"E01004225",5,20.839
"E01004623",8,8.842
"E01004481",6,15.155
"E01003822",10,2.997
"E01004493",7,13.604
"E01004795",1,45.227
"E01004895",2,34.501
"E01004985",9,8.311
"E01006015",7,11.443
"E01006018",8,10.478
"E01006069",2,42.044
"E01005905",1,48.658
"E01029568",3,32.043
"E01029658",4,24.827
"E01006138",7,12.358
"E01029688",8,10.534
"E01029790",7,12.041
"E01029974",7,12.167
"E01029804",3,27.45
"E01029726",5,19.469
"E01029738",9,7.14
"E01005921",3,33.079
"E01030005",6,15.79
"E01004559",9,7.589
"E01005170",7,12.246
"E01004484",5,18.333
"E01004534",7,13.523
"E01005266",1,49.262
"E01005284",3,28.566
"E01005117",1,56.446
"E01005140",2,38.971
"E01005359",7,12.152
"E01004583",7,12.262
"E01004772",2,34.074
"E01005339",8,10.671
"E01004549",5,19.334
"E01004991",4,24.412
"E01005035",4,23.32
"E01004632",9,8.395
"E01004345",5,20.885
"E01004535",2,37.698
"E01004610",5,19.919
"E01004496",7,11.991
"E01004533",3,27.038
"E01004200",3,27.239
"E01004289",2,34.596
"E01005471",2,37.456
"E01005316",3,32.552
